date,rows_all,size_all_JSON_MB,rows_original,size_original_csv_MB
2020-03-25,1593695,11106.4,287775,171.6
2020-03-26,4265176,28434.0,888487,534.7
2020-03-27,4316738,28158.2,908057,541.7
2020-03-28,7177401,28467.5,1359745,475.4
2020-03-29,4316351,29252.4,824189,492.8
2020-03-30,4288679,28159.7,898948,543.1
2020-03-31,4311080,28402.2,918234,554.4
2020-04-01,4257494,28269.2,939335,565.1
2020-04-02,4316929,29348.2,938284,565.8
2020-04-03,4276742,28320.7,947398,573.0
2020-04-04,4271810,28216.0,902890,544.9
2020-04-05,4240737,28076.2,914659,548.4
2020-04-06,4284726,27998.3,932503,564.7
2020-04-07,4299674,28050.1,941627,570.9
2020-04-08,4295435,28319.1,990443,603.8
2020-04-09,4203486,27931.1,966427,589.9
2020-04-10,2874076,19251.6,656271,400.7
2020-04-11,703888,4634.6,163671,99.9
2020-04-12,557912,3566.6,129950,79.2
2020-04-13,956868,6033.5,239744,146.9
2020-04-14,768444,5064.5,200122,122.8
2020-04-15,466342,3034.9,123209,75.6
2020-04-16,519434,3261.8,142438,87.7
2020-04-17,422757,2693.5,112869,69.4
2020-04-18,460407,3038.5,107953,65.7
2020-04-19,813126,5373.7,182146,110.6
2020-04-20,920006,5964.8,235096,144.0
2020-04-21,861392,5465.8,230630,142.2
2020-04-22,626225,3920.1,166611,102.5
2020-04-23,550381,3490.9,150584,92.7
2020-04-24,1691722,11137.5,397006,240.9
2020-04-25,3542945,22782.0,806423,489.6
2020-04-26,3362095,21556.2,802611,489.4
2020-04-27,3668263,22997.9,932349,571.3
2020-04-28,3720880,24474.5,962828,589.8
2020-04-29,3614045,23332.5,946670,580.6
2020-04-30,3444127,21866.3,962466,591.7
2020-05-01,3388158,21408.0,916640,562.3
2020-05-02,3093208,19784.4,760999,463.2
2020-05-03,3259008,21131.3,775543,473.0
2020-05-04,3553058,23088.2,903475,555.1
2020-05-05,3669178,23829.3,907941,557.5
2020-05-06,3497461,22273.6,910214,558.9
2020-05-07,3245474,20145.7,907772,556.9
2020-05-08,3238750,20051.6,880141,536.8
2020-05-09,3077276,20526.8,751961,455.8
2020-05-10,2872033,18723.9,667042,404.3
2020-05-11,3497663,22503.2,872125,534.8
2020-05-12,3529953,23194.6,886169,543.3
2020-05-13,3477323,22311.7,901989,553.6
2020-05-14,3391390,21517.5,914728,560.8
2020-05-15,3143578,20057.2,865916,532.1
2020-05-16,2623938,16724.5,681694,415.7
2020-05-17,2920413,18710.9,689905,418.2
2020-05-18,3278022,20258.7,848105,519.3
2020-05-19,3033131,19155.6,801732,491.8
2020-05-20,3173051,20983.4,836246,512.8
2020-05-21,3044599,19516.9,810537,497.3
2020-05-22,2841435,17598.9,780623,479.6
2020-05-23,2969805,19814.9,685617,417.9
2020-05-24,3067068,20735.4,670847,406.3
2020-05-25,2787297,18078.6,691377,421.5
2020-05-26,2799810,17955.3,739123,455.7
2020-05-27,2819268,18091.7,728970,448.1
2020-05-28,2942246,18396.4,743410,455.8
2020-05-29,2815087,17103.9,703025,423.9
2020-05-30,2274666,13450.2,515773,311.4
2020-05-31,2397067,14449.7,529362,319.7
2020-06-01,2443363,15626.2,607723,370.3
2020-06-02,2471080,17548.7,572112,348.7
2020-06-03,2517658,16816.5,623246,380.0
2020-06-06,2076078,14643.5,506000,303.8
2020-06-07,1707324,11213.6,431489,261.4
2020-06-08,2046268,12443.9,566764,346.5
2020-06-09,2075116,12947.2,567510,348.1
2020-06-10,2251478,14088.0,593068,362.7
